year,Folio,FechaSolicitud,Dependencia,Estatus,MedioEntrada,TipoSolicitud,DescripcionSolicitud,OtrosDatos,ArchivosAdjuntos,MedioEntrega,FechaLimite,Respuesta,TextoRespuesta,FechaRespuesta,FechaSolicitudTermino,Pais,Estado,Municipio,CodigoPostal,Sector,Prorroga,Prevencion,Disponibilidad,TipoDerechoARCOP,Queja,FechaSolicitud_iso,FechaLimite_iso,FechaRespuesta_iso,FechaSolicitudTermino_iso,Prorroga_bin,Prevencion_bin,Disponibilidad_bin,Queja_bin
2026,330030526000007,18/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),En proceso con prórroga,Electrónica,Información pública,DESCRIPCIÓN SOLICITUD,DESCRIPCIÓN SOLICITUD,ARCHIVOS ADJUNTOS,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,12/02/2026,Prórroga,TEXTO RESPUESTA,22/01/2026,,,,,,Poder Judicial,Si,No,No,No Aplica,No,2025-12-18,2026-02-12,2026-01-22,,1,0,0,0
2026,330030526000026,29/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,Favor de proporcionar una copia digital de la sentencia en versión pública del amparo civil directo 3418/52 dictada por la entonces Tercera Sala el 3 de junio de 1954,"Dicha sentencia es objeto de la tesis aislada con registro digital 340963 con rubro CONTRATOS, INTERPRETACIÓN DE LOS",https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/A2C6A49DF7C76D16DC790EA6653105C1,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",06/01/2026,06/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-29,2026-01-29,2026-01-06,2026-01-06,0,0,0,0
2026,330030526000013,23/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Solicito saber que tienen en sus acervos(libros, fotos, videos, documentos) acerca de Gilberto Bosques, exilio, exilio judío y antinazi en México.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/108E4E7FBB2EE89382535F285413BD4B,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),A través del archivo que se adjunta podrá visualizar la respuesta a su solicitud.,16/01/2026,16/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-23,2026-01-29,2026-01-16,2026-01-16,0,0,0,0
2026,330030526000025,29/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Con fundamento en el Artículo 1 de la Ley General de Transparencia y Acceso a la Información Pública, donde se garantiza el derecho de acceso a la información pública previsto por el artículo 6to de la Constitución Política de los Estados Unidos Mexicanos, y con fundamento en los Artículos 2, 6, 9, 11, 13 14, 15, 125, 133 y 134 además de lo establecido en el Título Segundo, Capítulo V de la citada Ley, donde se aclara a la ciudadanía las responsabilidades de las unidades de enlace y considerando que, en los términos del Capítulo II y III del Título Cuarto no se está solicitando ninguna información reservada ni confidencial, y la información debe de entregarse en los tiempos establecidos en el Artículo 137 de la misma Ley, se expide la presente solicitud.Favor de indicar la relación de la Compra de todos los Medicamentos adquiridos por el SUPREMA CORTE DE JUSTICIA DE LA NACION en el periodo de DICIEMBRE del 2025. DATOS REQUERIDOS ÚNICAMENTE: •Mes de compra (Indispensable)•Clave del Compendio Nacional de Insumos para la Salud (CNIS) y en su caso si existiera Diferencial,•Descripción completa y clara de la clave del CNIS del medicamento,•Número de piezas compradas, entregadas y facturadas por cada medicamento, •Precio por pieza de cada medicamento comprado, entregado y facturado,•Importe total por medicamento comprado, entregado y facturado, •Proveedor (o distribuidor) que vendió el medicamento, •Tipo de compra (Licitación, Adjudicación Directa o Invitación restringida) según corresponda, •Número de Licitación, Número de Adjudicación Directa o Número de Invitación restringida según corresponda, •Número de Contrato o Factura por medicamento. •Almacén o Unidad Médica, Centro de salud u Hospital al que fue entregado el medicamento.Con base al Artículo 135 de la Ley General de Transparencia y Acceso a la Información Pública, favor de mandar la información en Hoja de Cálculo (Excel)Por favor no referenciar a COMPRANET.FAVOR NO MANDAR FALLOS, SOLO COMPRA REAL EJERCIDAMuchas gracias",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/979B21426E3AFDA992C5F20629E0311B,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),A través del archivo que se adjunta podrá visualizar la respuesta a su solicitud.,26/01/2026,26/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-29,2026-01-29,2026-01-26,2026-01-26,0,0,0,0
2026,330030526000010,18/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Por medio de la presente solicito copia de la sentencia que resuelve el amparo en revisión en materia de trabajo 137/35. Sindicato de Ferrocarrileros de la República Mexicana. 31 de agosto de 1935. Unanimidad de cinco votos. Relator: Octavio M. Trigo, del que derivó el criterio:Registro digital: 382738 Instancia: Cuarta Sala Quinta Época Materia(s): Laboral Fuente: Semanario Judicial de la Federación. Tomo XLV, página 4158 Tipo: AisladaCONTRATO DE TRABAJO, CAUSA DE RESCISION DEL. Si se alega que una lesión que sufrió un obrero, no fue una consecuencia de una riña con otro obrero, sino que fue resultado de una broma, y por tanto, este hecho no es un acto delictuoso que pueda quedar comprobado en el artículo 121, fracción III, de la Ley Federal del Trabajo, no es de aceptarse tal razonamiento, porque al inferir una lesión un trabajador a otro, tuvo que existir necesariamente un acto de violencia, pues nadie se deja herir sin oponer resistencia, y por tanto, queda el caso comprendido en el precepto antes mencionado. Amparo en revisión en materia de trabajo 137/35. Sindicato de Ferrocarrileros de la República Mexicana. 31 de agosto de 1935. Unanimidad de cinco votos. Relator: Octavio M. Trigo.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/CA91D633A350B77685E92F3E6F3829BC,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",19/01/2026,19/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-18,2026-01-29,2026-01-19,2026-01-19,0,0,0,0
2026,330030526000009,18/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Por medio de la presente solicito copia de la sentencia que resuelve el amparo directo en materia de trabajo 4091/33. Sotres Luis. 11 de septiembre de 1935. Unanimidad de cinco votos. relator: Salomón González Blanco.Registro digital: 382778 Instancia: Cuarta Sala Quinta Época Materia(s): Laboral Fuente: Semanario Judicial de la Federación. Tomo XLV, página 4849 Tipo: Aislada TRABAJADORES, PRESCRIPCION DE LAS ACCIONES DE LOS. Si un obrero estima que injustificadamente se le ha separado del trabajo, a partir de la fecha en que es aprehendido, con motivo de una averiguación que se practicó por el robo sufrido en la casa comercial en la que presta sus servicios, aun cuando no puede decirse que se le despidió, debe tenerse en cuenta aquella fecha, con referencia a la reclamación que, posteriormente, formule en contra del patrono; y si tal reclamación no comprende el cumplimiento del contrato de trabajo, sino sólo el pago de la indemnización constitucional por separación injustificada, debe tenerse en cuenta que si se formula esa reclamación después de haber transcurrido con exceso del término de un mes, que señala la fracción III del artículo 329 de la Ley Federal del Trabajo, para el ejercicio de la acción correspondiente, es evidente que la acción del obrero está prescrita. Por otra parte, aun cuando no hubiese habido separación del trabajador, sino más bien rescisión del contrato de trabajo, por voluntad del propio trabajador, al surtir efecto tal rescisión, a partir de la fecha en que se detuvo al obrero, su acción está prescrita, en virtud de no haber sido ejercitada en tiempo, sin que sea de tenerse en consideración que para que hubiera podido ejercitarla, debía haberse resuelto previamente el proceso penal que en su contra se instruyó, si el trabajador no demanda el cumplimiento del contrato de trabajo, caso en el que hubiera procedido el ejercicio de su acción, siempre que, al presentarse nuevamente el trabajador ante el patrono, solicitando que lo coloque en el empleo que desempeñaba, éste se hubiese negado a hacerlo; aparte de que por los términos de los artículos 116, fracción IX, y 121, fracción XIV, de la Ley Federal del Trabajo, se deduce que el caso a que se refieren tales preceptos, es el de que un trabajador se encuentre privado materialmente de su libertad, y por tanto, esté imposibilitado para cumplir el contrato de trabajo, pero si se encuentra sujeto a proceso y obtiene su libertad provisional, ya no está imposibilitando para cumplir con dicho contrato de trabajo, y desde ese momento pudo solicitar del patrono, que le reinstale en el empleo que tenía antes de ser detenido, y sólo la negativa del patrono para acceder a esa solicitud, dará lugar al trabajador, para demandar también el cumplimiento del contrato de trabajo. Amparo directo en materia de trabajo 4091/33. Sotres Luis. 11 de septiembre de 1935. Unanimidad de cinco votos. relator: Salomón González Blanco.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/191299476B6A9614DC71CDEF64619D71,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",15/01/2026,15/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-18,2026-01-29,2026-01-15,2026-01-15,0,0,0,0
2026,330030526000023,28/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Se solicita una fotocopia de la ejecutoria del amparo en revisión 690/53, emitida por el entonces el Pleno de la Suprema Corte de Justicia de la Nación.Con la finalidad de facilitar su identificación, se comparte como adjunto la tesis que derivo de la ejecutoria mencionada.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/320CC18F38718CDA935D9432BB2E1058,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",15/01/2026,15/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-28,2026-01-29,2026-01-15,2026-01-15,0,0,0,0
2026,330030526000004,17/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Por medio de la pesente solicito copia de la sentencia que resuelve el Amparo en revisión en materia de trabajo 3788/35. Contreras Vicenta Victoria. 18 de septiembre de 1935. Unanimidad de cuatro votos. Relator: Salomón González Blanco, del que deriva el criterio:Registro digital: 809211 Instancia: Cuarta Sala Quinta Época Materia(s): Laboral Fuente: Semanario Judicial de la Federación. Tomo XLV, página 5282 Tipo: Aislada CONTRATO DE TRABAJO, RESCISION DEL, POR CULPA DEL PATRONO. El artículo 123, fracciones III y IV, de la Ley Federal del Trabajo, establece que: ""el trabajador podrá rescindir el contrato por incurrir el patrono, sus familiares o dependientes que obren con el consentimiento o tolerancia de él, y dentro del servicio, en faltas de probidad y honradez, actos de violencia, amenazas, injurias, malos tratamientos u otros análogos, en contra del trabajador; por incurrir el patrono, sus familiares, obreros o dependientes autorizados o tolerados por él y fuera del servicio, en los actos antes expresados""; de lo que se desprende que el patrono es responsable de los actos ejecutados con su consentimiento o tolerancia, por parte de sus obreros o familiares y en esa virtud, si consta que un patrono, al absolver unas posiciones que se le articulan ante una Junta, reconoce que, efectivamente, un obrero es despedido de su trabajo por otro trabajador, que está también a su servicio, y en una acta levantada por un inspector del trabajo, aparece que el despido lo hace la esposa del patrono demandado, debe concluirse que si la Junta no hace responsable del despido injustificado, alegado por el reclamante, al patrono, aplica inexactamente el artículo 4o. de la Ley Federal del Trabajo, infringe las disposiciones contenidas en las fracciones III y IV del artículo 123 de la propia Ley Federal del Trabajo y viola, en consecuencia, las correspondientes garantías individuales. Amparo en revisión en materia de trabajo 3788/35. Contreras Vicenta Victoria. 18 de septiembre de 1935. Unanimidad de cuatro votos. Relator: Salomón González Blanco.https://sjf2.scjn.gob.mx/detalle/tesis/809211",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/FBF7C78D73813946A9F2916D810BF2C9,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",15/01/2026,15/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-17,2026-01-29,2026-01-15,2026-01-15,0,0,0,0
2026,330030526000022,28/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Se solicita una fotocopia de la ejecutoria del amparo administrativo en revisión 7783/51, emitida por la entonces Segunda Sala de la Suprema Corte de Justicia de la Nación.Con la finalidad de facilitar su identificación, se comparte como adjunto la tesis que derivo de la ejecutoria mencionada.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/8701FCED32F3F972BF574E9E124EE305,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",19/01/2026,19/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-28,2026-01-29,2026-01-19,2026-01-19,0,0,0,0
2026,330030526000021,28/12/2025,FED-H - Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Se solicita una fotocopia de la ejecutoria del amparo civil directo 195/51, emitida por la entonces Sala Auxiliar de la Suprema Corte de Justicia de la Nación.Con la finalidad de facilitar su identificación, se comparte como adjunto la tesis que derivo de la ejecutoria mencionada.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/12DFC7A8DA2C83838E805CC08F4A1779,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,29/01/2026,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",19/01/2026,19/01/2026,,,,,Poder Judicial,No,No,No,No Aplica,No,2025-12-28,2026-01-29,2026-01-19,2026-01-19,0,0,0,0
