year,Folio,FechaSolicitud,Dependencia,Estatus,MedioEntrada,TipoSolicitud,DescripcionSolicitud,OtrosDatos,ArchivosAdjuntos,MedioEntrega,FechaLimite,Respuesta,TextoRespuesta,FechaRespuesta,FechaSolicitudTermino,Pais,Estado,Municipio,CodigoPostal,Sector,Prorroga,Prevencion,Disponibilidad,TipoDerechoARCOP,Queja,FechaSolicitud_iso,FechaLimite_iso,FechaRespuesta_iso,FechaSolicitudTermino_iso,Prorroga_bin,Prevencion_bin,Disponibilidad_bin,Queja_bin
2024,330030524000033,28/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Buenos días, a quien corresponda,Por medio del presente a parte de saludarle, es a fin de solicitar de la manera más atenta su apoyo a fin de que se nos pueda brindar lo que es una sentencia digitalizada en versión publica emitida por la SCJN, le comparto los datos del expediente del cual solicita dicha información.Número de expediente: 3524/84Tipo de asunto: Amparo en revisiónPonente: Carlos del Río Rodríguez.Quejosa: Planta Pasteurizadora de Durango, S.A. de C.V.","Número de expediente: 3524/84Tipo de asunto: Amparo en revisiónPonente: Carlos del Río Rodríguez.Quejosa: Planta Pasteurizadora de Durango, S.A. de C.V.",https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/91E20FA461F63CF2,Cualquier otro medio incluido los electrónicos,30/01/2024,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",12/01/2024,12/01/2024,,,,,Poder Judicial,No,No,No,No Aplica,No,2023-12-28,2024-01-30,2024-01-12,2024-01-12,0,0,0,0
2024,330030524000046,01/01/2024,Suprema Corte de Justicia de la Nación (SCJN),Desechada por falta de respuesta del ciudadano,Electrónica,Información pública,"Por este medio, atentamente solicito:Se me proporcione la ejecutoria del amparo en revisión 381/97, resuelto por la Segunda Sala de la Suprema Corte de Justicia de la Nación.Muchas gracias...",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/64052597F00EB20C,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,30/01/2024,Prevención,"“2024, Año de Felipe Carrillo Puerto, Benemérito del Proletariado, Revolucionario y Defensor del Mayab”Asunto: Requerimiento de Información adicional Folio PNT: 330030524000046 Expediente: UT/P/0008/2024 Ciudad de México, a 4 de enero de 2024Apreciable solicitante:P r e s e n t eCon relación a su solicitud de acceso a la información, se adjunta requerimiento",09/01/2024,09/01/2024,,,,,Poder Judicial,No,Si,No,No Aplica,No,2024-01-01,2024-01-30,2024-01-09,2024-01-09,0,1,0,0
2024,330030524000036,28/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Desechada por falta de respuesta del ciudadano,Electrónica,Información pública,solicito se informe del AMPARO INICIAL en donde la UNAM gana la batalla legal en contra de los desarrollos residenciales B GRAND.,LA SEGUNDA SALA DE LA SUPREMA CORTE DE LA NACION FUE LA QUE FRENO LA COSTRUCCION DEL COMPLEJO RESIDENCIAL B GRAND.EXPEDIENTE DE JUICIO DE AMPARO 91/2018,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/C9061EE29D1F6FBE,Cualquier otro medio incluido los electrónicos,30/01/2024,Prevención,"“2024, Año de Felipe Carrillo Puerto, Benemérito del Proletariado, Revolucionario y Defensor del Mayab”Asunto: Requerimiento de Información adicional Folio PNT: 330030524000036 Expediente: UT/P/0006/2024 Ciudad de México, a 4 de enero de 2024Apreciable solicitante:P r e s e n t eCon relación a su solicitud de acceso a la información, se adjunta requerimiento",09/01/2024,09/01/2024,,,,,Poder Judicial,No,Si,No,No Aplica,No,2023-12-28,2024-01-30,2024-01-09,2024-01-09,0,1,0,0
2024,330030524000008,19/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Desechada por falta de respuesta del ciudadano,Electrónica,Información pública,"Recurso de revisión interpuesto por DIVERSIONES YESPECTÁCULOS ETM, SOCIEDAD ANÓNIMA DE CAPITAL VARIABLE, CONTRALA RESOLUCIÓNINTERLOCUTORIA DICTADAEL 9 DE JUNIO DE 2022 POREL JUEZ DE DISTRITO DELCONOCIMIENTO EN ELINCIDENTE DE SUSPENSIÓNRELATIVO AL JUICIO DEAMPARO INDIRECTO910/2022, MEDIANTE EL CUALCONCEDIÓ LA SUSPENSIÓNDEFINITIVA por el JDO. 1° DE DTO. EN MAT.ADMVA. EN LA CDMX.A.I. 910/2022. ASÍ COMO LA SENTENCIA EMITIDA POR LA SEGUNDA SALA EL 6 DE DICIEMBRE DE 2023",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/E85469411F213473,Copia Simple,30/01/2024,Prevención,"“2024, Año de Felipe Carrillo Puerto, Benemérito del Proletariado, Revolucionario y Defensor del Mayab”Asunto: Requerimiento de Información adicional Folio PNT: 330030524000008 Expediente: UT/P/0002/2024 Ciudad de México, a 4 de enero de 2024 Apreciable solicitante:P r e s e n t eCon relación a su solicitud de acceso a la información, se adjunta requerimiento",05/01/2024,05/01/2024,,,,,Poder Judicial,No,Si,No,No Aplica,No,2023-12-19,2024-01-30,2024-01-05,2024-01-05,0,1,0,0
2024,330030524000007,18/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Desechada por falta de respuesta del ciudadano,Electrónica,Información pública,"¿Cuántas sentencias por feminicidio se dictaron en todos los estados del 1 de enero de 2023 al 31 de diciembre de 2023?Me gustaría saber cuántas sentencias se dictaron en cada uno de los estados durante todo el 2023, o al menos lo más actualizado posible.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/1F02A85F36CC56D6,Copia Simple,30/01/2024,Prevención,"“2024, Año de Felipe Carrillo Puerto, Benemérito del Proletariado, Revolucionario y Defensor del Mayab”Asunto: Requerimiento de Información adicional Folio PNT: 330030524000007 Expediente: UT/P/0001/2024 Ciudad de México, a 4 de enero de 2024 Apreciable solicitante:P r e s e n t eCon relación a su solicitud de acceso a la información, se adjunta requerimiento",05/01/2024,05/01/2024,,,,,Poder Judicial,No,Si,No,No Aplica,No,2023-12-18,2024-01-30,2024-01-05,2024-01-05,0,1,0,0
2024,330030524000020,22/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,Quiero saber que conflictos agrarios hubo en el municipio de San Salvador El Seco en los años sesentas y setentas y ¿Qué organizaciones los impulsaban?,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/8F7EB65F87693937,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,07/02/2024,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),se adjunta respuesta,12/01/2024,12/01/2024,,,,,Poder Judicial,No,Si,No,No Aplica,No,2023-12-22,2024-02-07,2024-01-12,2024-01-12,0,1,0,0
2024,330030524000039,29/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"En relación a la TESIS JURISPRUDENCIAL 1a./J. 126/2023 (11a.), por PENSIÓN JUBILATORIA O DE CESANTÍA POR EDAD AVANZADA. AMERITA LA MISMA PROTECCIÓN JURÍDICA QUE EL SALARIO, solicito que por favor, me proporcionen todo el expediente del Amparo directo en revisión 1875/2022. De Eduardo Aurelio Barenque Enríquez. De fecha 29 de marzo de 2023.","TESIS JURISPRUDENCIAL 1a./J. 126/2023 (11a.). ""PENSIÓN JUBILATORIA O DE CESANTÍA POREDAD AVANZADA. AMERITA LA MISMA PROTECCIÓN JURÍDICA QUE EL SALARIO"".",https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/BE581230EF9E2C1A,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,30/01/2024,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",18/01/2024,18/01/2024,,,,,Poder Judicial,No,No,No,No Aplica,No,2023-12-29,2024-01-30,2024-01-18,2024-01-18,0,0,0,0
2024,330030524000022,24/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"1- quiero saber si UBER, cuenta con alguna sentencia de amparo mediante la cual, le permita a sus socios conductores cargar o abordar usuarios de esta plataforma en las salidas de los aeropuertos de mexico y demas zonas aledañas a los aeropuertos. 2.- En caso de ser afirmativa mi pregunta anterior, deseo saber numero de expediente y juzgado de distrito ante el cual se tramito y resolvio el juicio de amparo, 3.- ademas ocupo de copia en version publica de la sentencia definitiva de dicho amparo.En caso de que aun se encuentre en litigio algun amparo sobre este tema si me pueden informar de ser el caso.informacion como antecedente:UBER esta haciendo mencion a sus socios conductores, como es mi caso, mediante un mensaje dentro de la aplicacion, diciendo que cuenta con una sentencia definitiva de amparo que permite que los conductores subamos pasaje en aeropuertos de MEXICO, y que en consecuencia la autoridad debera abstenerse de realizar infracciones, me interesa saber si esto es cierto, porque al conversar con los guardias nacionales que cuidan en los aeropuertos nos han dicho que no tienen conocimiento de dicho amparo y nos siguen infraccionando.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/88F7261C58A0B2F4,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,30/01/2024,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),"Apreciable solicitanteSe hace de su conocimiento que debido al tamaño de la presente comunicación, podrá visualizarla en documento adjunto.Atentamente Subdirección General de la Unidad General de Transparencia y Sistematización de la Información Judicial",11/01/2024,11/01/2024,,,,,Poder Judicial,No,No,No,No Aplica,No,2023-12-24,2024-01-30,2024-01-11,2024-01-11,0,0,0,0
2024,330030524000042,30/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,"Solicito atentamente, la versión pública de la sentencia dictada en el asunto: Amparo directo 7884/79. Raúl Hurtado Hernández. 13 de octubre de 1980. Cinco votos. Ponente: Francisco H. Pavón Vasconcelos. Secretaria: Josefina Ordóñez Reyna.",,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/7412DD51F78B4440,Cualquier otro medio incluido los electrónicos,30/01/2024,Información disponible públicamente (Terminada),SE ADJUNTA RESPUESTA,03/01/2024,03/01/2024,,,,,Poder Judicial,No,No,No,No Aplica,No,2023-12-30,2024-01-30,2024-01-03,2024-01-03,0,0,0,0
2024,330030524000029,27/12/2023,Suprema Corte de Justicia de la Nación (SCJN),Terminada,Electrónica,Información pública,Solicito se exhiban los contratos que se han realizado con la persona moral denominada Edificaciones y remodelaciones lozbel s.a de c.v y sus fechas de pago de sus contratos que ha tenido la suprema corte con la moral antes descrita,,https://servicios.plataformadetransparencia.org.mx/inai3/rest/organoGarante/administracionControlDescarga/descargarAdjuntosPorSolicitud/71D05492370D0981,Electrónico a través del Sistema de Solicitudes de Acceso a la Información de la PNT,30/01/2024,Entrega de información vía Plataforma Nacional de Transparencia (Terminada),A través del archivo que se adjunta podrá visualizar la respuesta a su solicitud.,23/01/2024,23/01/2024,,,,,Poder Judicial,No,No,No,No Aplica,No,2023-12-27,2024-01-30,2024-01-23,2024-01-23,0,0,0,0
