Nombre,Activo,MesesEnCargo,Genero
alberto pérez dayán,inactivo,159,hombre
jorge mario pardo rebolledo,inactivo,180,hombre
alfredo gutiérrez ortiz mena,inactivo,159,hombre
javier laynez potisek,inactivo,122,hombre
josé fernando franco gonzález salas,inactivo,180,hombre
norma lucía piña hernández,inactivo,122,mujer
eduardo medina mora i.,inactivo,54,hombre
margarita beatriz luna ramos,inactivo,180,mujer
arturo zaldívar lelo de larrea,inactivo,167,hombre
josé ramón cossío díaz,inactivo,180,hombre
yasmín esquivel mossa,activo,74,mujer
juan luis gonzález alcántara carrancá,inactivo,86,hombre
luis maría aguilar morales,inactivo,180,hombre
ana margarita ríos farjat,inactivo,74,mujer
loretta ortiz ahlf,activo,50,mujer
lenia batres guadarrama,activo,26,mujer
juan n. silva meza,inactivo,250,hombre
olga maría del carmen sánchez cordero,inactivo,250,mujer
giovanni azael figueroa mejía,activo,6,hombre
arístides rodrigo guerrero garcía,activo,6,hombre
hugo aguilar ortiz,activo,6,hombre
maría estela ríos gonzález,activo,6,mujer
sara irene herrerías guerra,activo,6,mujer
irving espinosa betanzo,activo,6,hombre
sergio a. valls hernández,inactivo,121,hombre
