year,ngram,score,count
2017,tabasco 2000,0.0010126033863906319,27
2017,vehiculos motors,0.0009000918990138951,24
2017,motors mx/,0.0009000918990138951,24
2017,cuanto empleado,0.0009000918990138951,24
2017,empleado vehiculos,0.0009000918990138951,24
2017,vehiculos vehiculos,0.0009000918990138951,24
2017,mx/ adquirir,0.0009000918990138951,24
2017,vehiculos ford,0.0009000918990138951,24
2017,ford ford,0.0009000918990138951,24
2017,ford mx/,0.0009000918990138951,24
2017,epoca jurisprudencias,0.0009000918990138951,24
2017,y/o tercero,0.0007875804116371581,21
2017,segundo bajo,0.000681565341769604,26
2017,feminicidio tabasco,0.0006750689242604213,18
2017,comision libros,0.0006029231869500343,23
2018,migrantes inmigrantes,0.0006784281358261774,18
2018,mauro arturo,0.0006784281358261774,18
2018,arturo rivera,0.0006784281358261774,18
2018,rivera leon,0.0006784281358261774,18
2018,rangos homologos,0.000603047231845491,16
2018,archivistico toluca,0.0005653567798551477,15
2018,precisandose ingresados,0.0005653567798551477,15
2018,ingresados ellos,0.0005653567798551477,15
2018,cendi estancia,0.0004899758758744614,13
2018,estancia infantil,0.0004215119262578669,16
2018,sesion 2018,0.00038996200858914474,26
2018,red internet,0.0003769045199034319,10
2018,delitos enriquecimiento,0.0003769045199034319,10
2018,ilicito peculado,0.0003769045199034319,10
2018,peculado y/o,0.0003769045199034319,10
2019,admitidas resueltas,0.002043387113696909,72
2019,facturas pagadas,0.001899455449123289,128
2019,jorge benjamin,0.0017028225947474242,60
2019,benjamin martinez,0.0017028225947474242,60
2019,cultura cuernavaca,0.0012203561929023206,43
2019,circuitos saber,0.0010216935568484545,36
2019,iap rfc,0.0010216935568484545,36
2019,facultan trabajo,0.0009365524271110832,33
2019,ese circuitos,0.0009081720505319594,32
2019,profesores jorge,0.0008514112973737121,30
2019,martinez zendejas,0.0008514112973737121,30
2019,zendejas miguel,0.0008514112973737121,30
2019,angel jasso,0.0008514112973737121,30
2019,jasso espinosa,0.0008514112973737121,30
2019,espinosa nicolas,0.0008514112973737121,30
2020,simple apelacion,0.0024832571958007177,82
2020,pagos entendiendo,0.0023015554497665186,76
2020,entendiendo concepto,0.0023015554497665186,76
2020,concepto representen,0.0023015554497665186,76
2020,representen ingresos,0.0023015554497665186,76
2020,ingresos cualquier,0.0023015554497665186,76
2020,concepto -incluyendo,0.0023015554497665186,76
2020,-incluyendo dinero-,0.0023015554497665186,76
2020,dinero- derechos,0.0023015554497665186,76
2020,federacion correspondiente,0.002095567158520871,99
2020,neta fiscal,0.0019987192063761873,66
2020,neta percibida,0.0019987192063761873,66
2020,percibida fiscal,0.0019987192063761873,66
2020,correspondiente fiscal,0.0019987192063761873,66
2020,contengan cualquier,0.0019987192063761873,66
2021,2021 seguian,0.0022664055219185414,82
2021,seguian pendientes,0.0022664055219185414,82
2021,pendientes engrose,0.0015477891369199796,56
2021,solicitados amparos,0.001381954586535696,50
2021,zavala rangel,0.0013136849325465294,68
2021,datos solicitados,0.0012758492467488747,116
2021,notificaciones resolutivos,0.0011332027609592707,41
2021,resolutivos fallo,0.0011055636692285568,40
2021,zaragoza ejecutivo,0.0011055636692285568,40
2021,manuel horacio,0.0009466259072761756,49
2021,solicitados acciones,0.0009397291188442733,34
2021,solicitados controversias,0.0008568118436521315,31
2021,horacio zavala,0.000850031426941872,44
2021,2020 desagregada,0.0008291727519214176,30
2021,indique penales,0.0008291727519214176,30
