year,minister,ngram,count,score
2017,Alberto Pérez Dayán,wilmington trust,5,0.007858652194518928
2017,Alberto Pérez Dayán,trust fsb,5,0.007858652194518928
2017,Alberto Pérez Dayán,contador gerardo,5,0.007858652194518928
2017,Alberto Pérez Dayán,gerardo sierra,5,0.007858652194518928
2017,Alberto Pérez Dayán,sierra arrazola,5,0.007858652194518928
2017,Alberto Pérez Dayán,superior ciudad,6,0.0065915545901737895
2017,Alberto Pérez Dayán,magistrado alvaro,4,0.0062869217556151425
2017,Alberto Pérez Dayán,juarez presidente,4,0.0062869217556151425
2017,Alberto Pérez Dayán,quistian espericueta,4,0.0062869217556151425
2017,Alberto Pérez Dayán,pericial finanzas,4,0.0062869217556151425
2018,Alberto Pérez Dayán,segundo penal,16,0.005811556443002844
2018,Alberto Pérez Dayán,penal tercer,10,0.005196535980577851
2018,Alberto Pérez Dayán,eduardo lopez,8,0.004157228784462281
2018,Alberto Pérez Dayán,viernes 2018,7,0.0036375751864044957
2018,Alberto Pérez Dayán,rio rodriguez,7,0.0036375751864044957
2018,Alberto Pérez Dayán,disidente eduardo,7,0.0036375751864044957
2018,Alberto Pérez Dayán,2003 unanimidad,7,0.0036375751864044957
2018,Alberto Pérez Dayán,medina mora,13,0.0035323056773272784
2018,Alberto Pérez Dayán,mayoria disidente,12,0.0032605898559944107
2018,Alberto Pérez Dayán,gonzalez martinez,6,0.003117921588346711
2019,Alberto Pérez Dayán,instituto defensoria,14,0.010362002990008563
2019,Alberto Pérez Dayán,perez morales,13,0.009621859919293667
2019,Alberto Pérez Dayán,via ejecutiva,12,0.00888171684857877
2019,Alberto Pérez Dayán,ejecutiva mercantil,12,0.00888171684857877
2019,Alberto Pérez Dayán,maria perez,13,0.0067253914695092586
2019,Alberto Pérez Dayán,titulos operaciones,9,0.006661287636434077
2019,Alberto Pérez Dayán,operaciones credito,9,0.006661287636434077
2019,Alberto Pérez Dayán,hubieren recibidos,8,0.005921144565719179
2019,Alberto Pérez Dayán,recibidos instituto,8,0.005921144565719179
2019,Alberto Pérez Dayán,defensoria haya,8,0.005921144565719179
2020,Alberto Pérez Dayán,cualquier concepto,14,0.008376256793337325
2020,Alberto Pérez Dayán,egresos federacion,9,0.007703816296262607
2020,Alberto Pérez Dayán,federacion correspondiente,9,0.007703816296262607
2020,Alberto Pérez Dayán,pagos entendiendo,7,0.00599185711931536
2020,Alberto Pérez Dayán,entendiendo concepto,7,0.00599185711931536
2020,Alberto Pérez Dayán,concepto representen,7,0.00599185711931536
2020,Alberto Pérez Dayán,representen ingresos,7,0.00599185711931536
2020,Alberto Pérez Dayán,ingresos cualquier,7,0.00599185711931536
2020,Alberto Pérez Dayán,concepto -incluyendo,7,0.00599185711931536
2020,Alberto Pérez Dayán,-incluyendo dinero-,7,0.00599185711931536
2021,Alberto Pérez Dayán,zavala rangel,50,0.013992678772683884
2021,Alberto Pérez Dayán,manuel horacio,35,0.009794875140878718
2021,Alberto Pérez Dayán,estado guanajuato,41,0.008583356803575618
2021,Alberto Pérez Dayán,horacio zavala,30,0.00839560726361033
2021,Alberto Pérez Dayán,romita guanajuato,24,0.005024403982580849
2021,Alberto Pérez Dayán,instituto estado,14,0.003917950056351488
2021,Alberto Pérez Dayán,unanimidad aurelio,8,0.0032030396007568015
2021,Alberto Pérez Dayán,aurelio sanchez,8,0.0032030396007568015
