year,minister,count
2017,Luis María Aguilar Morales,1011
2017,Alfredo Gutiérrez Ortiz Mena,491
2017,José Ramón Cossío Díaz,307
2017,Margarita Beatriz Luna Ramos,377
2017,José Fernando Franco González Salas,555
2017,Arturo Zaldívar Lelo de Larrea,411
2017,Jorge Mario Pardo Rebolledo,294
2017,Eduardo Medina Mora,474
2017,Javier Laynez Potisek,26
2017,Alberto Pérez Dayán,71
2017,Norma Lucía Piña Hernández,173
2018,Luis María Aguilar Morales,797
2018,Alfredo Gutiérrez Ortiz Mena,516
2018,José Ramón Cossío Díaz,332
2018,Margarita Beatriz Luna Ramos,416
2018,José Fernando Franco González Salas,603
2018,Arturo Zaldívar Lelo de Larrea,402
2018,Jorge Mario Pardo Rebolledo,283
2018,Eduardo Medina Mora,456
2018,Javier Laynez Potisek,33
2018,Alberto Pérez Dayán,111
2018,Norma Lucía Piña Hernández,215
2019,Luis María Aguilar Morales,779
2019,Alfredo Gutiérrez Ortiz Mena,638
2019,Juan Luis González Alcántara Carrancá,168
2019,Yasmín Esquivel Mossa,21
2019,José Fernando Franco González Salas,655
2019,Arturo Zaldívar Lelo de Larrea,526
2019,Jorge Mario Pardo Rebolledo,374
2019,Javier Laynez Potisek,40
2019,Alberto Pérez Dayán,136
2019,Norma Lucía Piña Hernández,249
2019,Margarita Ríos Farjat,58
2020,Luis María Aguilar Morales,1357
2020,Alfredo Gutiérrez Ortiz Mena,545
2020,Juan Luis González Alcántara Carrancá,150
2020,Yasmín Esquivel Mossa,31
2020,José Fernando Franco González Salas,626
2020,Arturo Zaldívar Lelo de Larrea,419
2020,Jorge Mario Pardo Rebolledo,273
2020,Javier Laynez Potisek,29
2020,Alberto Pérez Dayán,179
2020,Norma Lucía Piña Hernández,236
2020,Margarita Ríos Farjat,57
2021,Luis María Aguilar Morales,726
2021,Alfredo Gutiérrez Ortiz Mena,687
2021,Juan Luis González Alcántara Carrancá,162
2021,Yasmín Esquivel Mossa,41
2021,Loretta Ortiz Ahlf,697
2021,Arturo Zaldívar Lelo de Larrea,521
2021,Jorge Mario Pardo Rebolledo,351
2021,Javier Laynez Potisek,39
2021,Alberto Pérez Dayán,157
2021,Norma Lucía Piña Hernández,280
2021,Margarita Ríos Farjat,66
2022,Luis María Aguilar Morales,864
2022,Alfredo Gutiérrez Ortiz Mena,767
2022,Juan Luis González Alcántara Carrancá,190
2022,Yasmín Esquivel Mossa,34
2022,Loretta Ortiz Ahlf,737
2022,Arturo Zaldívar Lelo de Larrea,546
2022,Jorge Mario Pardo Rebolledo,364
2022,Javier Laynez Potisek,29
2022,Alberto Pérez Dayán,124
2022,Norma Lucía Piña Hernández,263
2022,Margarita Ríos Farjat,95
2023,Luis María Aguilar Morales,982
2023,Alfredo Gutiérrez Ortiz Mena,1008
2023,Juan Luis González Alcántara Carrancá,240
2023,Yasmín Esquivel Mossa,65
2023,Loretta Ortiz Ahlf,1020
2023,Arturo Zaldívar Lelo de Larrea,787
2023,Jorge Mario Pardo Rebolledo,477
2023,Javier Laynez Potisek,48
2023,Alberto Pérez Dayán,273
2023,Norma Lucía Piña Hernández,471
2023,Margarita Ríos Farjat,107
2024,Luis María Aguilar Morales,778
2024,Alfredo Gutiérrez Ortiz Mena,730
2024,Juan Luis González Alcántara Carrancá,216
2024,Yasmín Esquivel Mossa,40
2024,Loretta Ortiz Ahlf,752
2024,Lenia Batres Guadarrama,178
2024,Jorge Mario Pardo Rebolledo,374
2024,Javier Laynez Potisek,31
2024,Alberto Pérez Dayán,167
2024,Norma Lucía Piña Hernández,356
2024,Margarita Ríos Farjat,113
2025,Hugo Aguilar Ortiz,120
2025,Lenia Batres Guadarrama,77
2025,Yasmín Esquivel Mossa,15
2025,Loretta Ortiz Ahlf,429
2025,María Estela Ríos González,687
2025,Sara Irene Herrerías Guerra,302
2025,Giovanni Azael Figueroa Mejía,101
2025,Irving Espinosa Betanzo,32
2025,Arístides Rodrigo Guerrero García,164
2026,Hugo Aguilar Ortiz,20
2026,Lenia Batres Guadarrama,24
2026,Yasmín Esquivel Mossa,6
2026,Loretta Ortiz Ahlf,70
2026,María Estela Ríos González,97
2026,Sara Irene Herrerías Guerra,54
2026,Giovanni Azael Figueroa Mejía,17
2026,Irving Espinosa Betanzo,8
2026,Arístides Rodrigo Guerrero García,28
